x,y,N,E,S,W
0,0,Out,Out,Blank,Out
2,0,Blank,Blank,In,Out
4,0,Out,Out,In,In
6,0,Out,Blank,In,Blank
1,1,Blank,Out,Out,Out
3,1,Out,In,Blank,Blank
5,1,Blank,Out,Out,Out
7,1,Out,In,In,Out
0,2,Blank,In,In,In
2,2,Out,Out,In,In
4,2,Out,In,In,Out
6,2,Out,Blank,Blank,In
1,3,Out,Out,In,In
3,3,In,Blank,Blank,Out
5,3,Blank,Out,In,Blank
7,3,Blank,Out,Blank,In
0,4,Out,Out,Blank,Out
2,4,In,Out,Blank,Blank
4,4,In,Out,In,Out
6,4,In,In,In,Blank
1,5,Blank,Blank,Out,In
3,5,In,In,In,Blank
5,5,Blank,Blank,In,Out
7,5,Blank,Blank,Blank,Blank
0,6,Blank,Out,Blank,In
2,6,Blank,Blank,Out,In
4,6,Out,Blank,Out,Out
6,6,In,Out,Out,In
1,7,Blank,Blank,Blank,Blank
3,7,Out,Out,Blank,Out
5,7,Out,In,Out,In
7,7,Blank,Blank,Blank,Blank

